Product_Code,Product_Name,Product_Details,Product_Link,Product_Distribution_Price,Product_MRP,Product_BV
IS9807,On & On Spirulina Gold,Spirulina Gold Capsule,https://www.youtube.com/watch?v=JDWZHgsb8U4,1100.00,1300.00,0
IS9656,Elements Daily Detox,Daily Detox Capsule by Elements 60 Capsule,https://www.indiashoppe.com/detail/elements-daily-detox-60-capsules?pdtId=95tKXcqEcrc6WH25LphUsQ==,685.00,685.00,470.00
IS13395,MELT FAT,MET FAT,https://www.indiashoppe.com/detail/elements-melt-fat-420-gms?pdtId=rjF!_Jh!_dZjvpEacZ4b6LuA==,2500.00,2500.00,1650.00
IS9662,Elements Man Shakti man,Elements Man Shakti Man 60 capsules,https://www.indiashoppe.com/detail/elements-man-shakti-man-60-capsules?pdtId=S35ziPQzi5h8Y6QLdcCbxA=,1050.00,1050.00,755.00
IS11817,ON & ON BHRNGRJ OIL,ON & ON BHRNGRJ OIL,https://www.indiashoppe.com/detail/on---on-maha-bhringraj-herbal-hair-oil-200-ml?pdtId=IfVEv8F6wNywy9Pt!_YpF1A==,270.00,380.00,202.50
IS13064,ON & ON  BDY BTR CRM,ON & ON  BDY BTR CRM,https://www.indiashoppe.com/,195.00,300.00,146.20
IS13089,ON & ON  HRB T-PST 55,ON & ON  HRB T-PST 55,https://www.indiashoppe.com/,120.00,175.00,90.00
IS13148,ELEMENTS  PROTEIN PWDR,ELEMENTS  PROTEIN PWDR,https://www.indiashoppe.com/,2000.00,2500.00,1500.00
IS13187,ELEMENTS  CC SHMPOO 76,ELEMENTS  CC SHMPOO 76,https://www.indiashoppe.com/,220.00,315.00,165.00
IS13188,ELEMENTS  A.D. SHMP 76,ELEMENTS  A.D. SHMP 76,https://www.indiashoppe.com/,220.00,315.00,165.00
IS13229,MULTI-ACTION FAIRNESS CREAM,MULTI-ACTION FAIRNESS CREAM,https://www.indiashoppe.com/,220.00,315.00,165.00
IS13282,ON & ON  SANDALWOOD SOAP 75 GM,ON & ON  SANDALWOOD SOAP 75 GMS,https://www.indiashoppe.com/,65.00,95.00,48.75
IS13283,ON & ON PAPAYA SOAP 75 GMS,ON & ON PAPAYA SOAP 75 GMS,https://www.indiashoppe.com/,65.00,95.00,48.75
IS13284,ON & ON  NEEM SOAP 75 GMS,ON & ON  NEEM SOAP 75 GMS,https://www.indiashoppe.com/,65.00,95.00,48.75
IS13285,ON & ON  TURMERIC SOAP 75 GMS,ON & ON  TURMERIC SOAP 75 GMS,https://www.indiashoppe.com/,65.00,95.00,48.75
IS13286,ON & ON MILK AND STRAWBERRY SO,ON & ON MILK AND STRAWBERRY SOAP 75 GMS,https://www.indiashoppe.com/,65.00,95.00,48.75
IS13311,ELEMENTS RADIANT GLOW FACE WAS,ELEMENTS RADIANT GLOW FACE WASH,https://www.indiashoppe.com/,145.00,235.00,108.75
IS13313,RED HERBAL TOOTHPASTE  150GM,RED HERBAL TOOTHPASTE  150GM,https://www.indiashoppe.com/,130.00,150.00,97.50
IS13359,ELEMENTS FEALING IRON CAPSULE,ELEMENTS FEALING IRON CAPSULE,https://www.indiashoppe.com/,480.00,650.00,360.00
IS13360,ELEMENTS FEALING IRON SYRUP,ELEMENTS FEALING IRON SYRUP,https://www.indiashoppe.com/,260.00,375.00,195.00
IS13362,NEW ON & ON DIABA LIFE 600.85 ,NEW ON & ON DIABA LIFE 600.85 MG,https://www.indiashoppe.com/,1800.00,2100.00,1350.00
IS13363,ELEMENTS URI FLUSH 3 LIQUID,ELEMENTS URI FLUSH 3 LIQUID,https://www.indiashoppe.com/,285.00,380.00,213.75
IS13375,ELEMENTS WHITENING BODY LOTION,ELEMENTS WHITENING BODY LOTION,https://www.indiashoppe.com/,135.00,180.00,101.25
IS13376,ELEMENTS COCOA BUTTER BODY LOT,ELEMENTS COCOA BUTTER BODY LOTION,https://www.indiashoppe.com/,160.00,215.00,120.00
IS13377,ELEMENTS INTENSE MOISTURISING ,ELEMENTS INTENSE MOISTURISING BODY LOTION - ALOVERA,https://www.indiashoppe.com/,171.00,228.00,128.25
IS13378,ELEMENTS EMOLLIENT BODY CREAM,ELEMENTS EMOLLIENT BODY CREAM,https://www.indiashoppe.com/,159.00,212.00,119.25
IS13379,ELEMENTS MOISTURISING HAND WAS,ELEMENTS MOISTURISING HAND WASH - ROSE & GLYCERIN,https://www.indiashoppe.com/,261.00,348.00,195.75
IS13380,ELEMENTS 3 IN 1 FACE WASH,ELEMENTS 3 IN 1 FACE WASH,https://www.indiashoppe.com/,115.00,158.00,86.25
IS13381,ELEMENTS  EGA 12 – DAY PROTECT,ELEMENTS  EGA 12 – DAY PROTECTION CREAM (ANTI-AGEING ACTION),https://www.indiashoppe.com/,1100.00,1300.00,825.00
IS13382,ELEMENTS  EGA 12 – NIGHT PROTE,ELEMENTS  EGA 12 – NIGHT PROTECTION CREAM,https://www.indiashoppe.com/,1100.00,1300.00,825.00
IS13383,ELEMENTS UNDER EYE GEL,ELEMENTS UNDER EYE GEL,https://www.indiashoppe.com/,190.00,245.00,142.50
IS13395,ELEMENTS WELLNESS MELTFAT,ELEMENTS WELLNESS MELTFAT,https://www.indiashoppe.com/,2100.00,2500.00,1575.00
IS13439,ON & ON Nutrilife Delicious Ma,ON & ON Nutrilife Delicious Mango Flavour,https://www.indiashoppe.com/,1600.00,1900.00,1200.00
IS13441,PERFECTIO SUITINGS,PERFECTIO SUITINGS,https://www.indiashoppe.com/,1100.00,1500.00,825.00
IS13719,ELEMENTS  NATCIUM,ELEMENTS  NATCIUM,https://www.indiashoppe.com/,760.00,950.00,570.00
IS2453,ON & ON 9E5,ON & ON 9E5,https://www.indiashoppe.com/,2500.00,3000.00,1875.00
IS2770,ON & ON  SIT & BURN,ON & ON  SIT & BURN,https://www.indiashoppe.com/,1915.00,2200.00,1436.25
IS8826,ON & ON  NUTRILIFE 56,ON & ON  NUTRILIFE 56,https://www.indiashoppe.com/detail/on---on-nutrilife-powder-750-gms?pdtId=vHAMpSGo3S4OzHILwY6APQ==,1600.00,1900.00,1200.00
IS8858,ON & ON  KAVCH PRASH,ON & ON  KAVCH PRASH,https://www.indiashoppe.com/,800.00,1275.00,600.00
IS9648,ELEMENTS  F.G. T-PST,ELEMENTS  F.G. T-PST,https://www.indiashoppe.com/,130.00,210.00,97.50
IS9651,ELEMENTS  NO VEDNA CAP,ELEMENTS  NO VEDNA CAP,https://www.indiashoppe.com/,799.00,920.00,599.25
IS9652,ELEMENTS  NO VEDNA GEL,ELEMENTS  NO VEDNA GEL,https://www.indiashoppe.com/,210.00,260.00,157.50
IS9653,ELEMENTS  PHYT STRS CP,ELEMENTS  PHYT STRS CP,https://www.indiashoppe.com/,675.00,775.00,506.25
IS9654,ELEMENTS  IMMUNO + CAP,ELEMENTS  IMMUNO + CAP,https://www.indiashoppe.com/,625.00,720.00,468.75
IS9655,ELEMENTS  LIV AGAIN C,ELEMENTS  LIV AGAIN C,https://www.indiashoppe.com/,600.00,700.00,450.00
IS9656,ELEMENTS  DAILY DETOX,ELEMENTS  DAILY DETOX,https://www.indiashoppe.com/,600.00,685.00,450.00
IS9657,ELEMENTS  WND HLNG CRM,ELEMENTS  WND HLNG CRM,https://www.indiashoppe.com/,120.00,195.00,90.00
IS9658,ELEMENTS  LIV AGAIN L,ELEMENTS  LIV AGAIN L,https://www.indiashoppe.com/,150.00,235.00,112.50
IS9659,ELEMENTS  COF NIL,ELEMENTS  COF NIL,https://www.indiashoppe.com/,120.00,195.00,90.00
IS9660,ELEMENTS  WOMAN COMP,ELEMENTS  WOMAN COMP,https://www.indiashoppe.com/,210.00,300.00,157.50
IS9661,ELEMENTS  M.G. BLD PRF,ELEMENTS  M.G. BLD PRF,https://www.indiashoppe.com/,230.00,330.00,172.50
IS9662,ELEMENTS  MAN SHKTIMN,ELEMENTS  MAN SHKTIMN,https://www.indiashoppe.com/,850.00,1050.00,637.50
IS9663,ELEMENTS  WELL HART,ELEMENTS  WELL HART,https://www.indiashoppe.com/,450.00,650.00,337.50
IS9664,ELEMENTS  BELOW 37,ELEMENTS  BELOW 37,https://www.indiashoppe.com/,570.00,760.00,427.50
IS9665,ELEMENTS  CHAMPI CHMPN,ELEMENTS  CHAMPI CHMPN,https://www.indiashoppe.com/,325.00,465.00,243.75
IS9691,GAS SAFE,GAS SAFE,https://www.indiashoppe.com/,3250.00,3995.00,2437.50
IS9807,ON & ON  SPRLN GOLD,ON & ON  SPRLN GOLD,https://www.indiashoppe.com/,1100.00,1300.00,825.00
IS13515,NEUSTAR NEEM & TULSI SOAP 100G,NEUSTAR NEEM & TULSI SOAP 100GMS,https://www.indiashoppe.com/,30.00,45.00,10.50
IS13516,NEUSTAR LIME & ALOE VERA SOAP ,NEUSTAR LIME & ALOE VERA SOAP 100GMS,https://www.indiashoppe.com/,28.00,45.00,9.80
IS13517,NEUSTAR ROSE FRAGRANCE SOAP 10,NEUSTAR ROSE FRAGRANCE SOAP 100GMS,https://www.indiashoppe.com/,35.00,50.00,12.25
IS13518,AAHAR TURMERIC POWDER 100GM,AAHAR TURMERIC POWDER 100GM,https://www.indiashoppe.com/,50.00,60.00,17.50
IS13519,AAHAR GARAM MASALA 100GM,AAHAR GARAM MASALA 100GM,https://www.indiashoppe.com/,75.00,90.00,26.25
IS13520,AAHAR CHAT POWDER 100GM,AAHAR CHAT POWDER 100GM,https://www.indiashoppe.com/,58.00,65.00,20.30
IS13521,AAHAR CHILLI POWDER 200GMS,AAHAR CHILLI POWDER 200GMS,https://www.indiashoppe.com/,75.00,90.00,26.25
IS13522,AAHAR CORIANDER POWDER 200GMS,AAHAR CORIANDER POWDER 200GMS,https://www.indiashoppe.com/,55.00,65.00,19.25
IS13523,NEUSTAR JASMINE & ALMOND SOAP ,NEUSTAR JASMINE & ALMOND SOAP 100GMS,https://www.indiashoppe.com/,35.00,50.00,12.25
IS13524,NEUSTAR ANTIBACTERIAL SOAP 100,NEUSTAR ANTIBACTERIAL SOAP 100GMS,https://www.indiashoppe.com/,30.00,45.00,10.50
IS13525,NEUSTAR SANDALWOOD SOAP 100GMS,NEUSTAR SANDALWOOD SOAP 100GMS,https://www.indiashoppe.com/,30.00,45.00,10.50
IS13526,TALC POWDER 300GMS,TALC POWDER 300GMS,https://www.indiashoppe.com/,135.00,160.00,47.25
IS13527,NEUSTAR TULSI &MINT TOOTHPASTE,NEUSTAR TULSI &MINT TOOTHPASTE 100GMS,https://www.indiashoppe.com/,50.00,65.00,17.50
IS13528,NEUSTAR NEEM FACE WASH 100ML,NEUSTAR NEEM FACE WASH 100ML,https://www.indiashoppe.com/,100.00,120.00,35.00
IS13529,NEUSTAR PAPAYA FACE WASH 100ML,NEUSTAR PAPAYA FACE WASH 100ML,https://www.indiashoppe.com/,100.00,120.00,35.00
IS13530,NEUSTAR WALLNUT SCRUB 100ML,NEUSTAR WALLNUT SCRUB 100ML,https://www.indiashoppe.com/,120.00,150.00,42.00
IS13531,NEUSTAR PETROLEUM JELLY 50GMS,NEUSTAR PETROLEUM JELLY 50GMS,https://www.indiashoppe.com/,40.00,50.00,14.00
IS13532,NEUSTAR SHAMPOO TUBE 30ML,NEUSTAR SHAMPOO TUBE 30ML,https://www.indiashoppe.com/,20.00,35.00,7.00
IS13533,NEUSTAR AMLA HAIR OIL 200ML,NEUSTAR AMLA HAIR OIL 200ML,https://www.indiashoppe.com/,125.00,150.00,43.75
IS13534,MAX BRITE MATIC LAUNDRY LIQUID,MAX BRITE MATIC LAUNDRY LIQUID DETERGENT 500ML,https://www.indiashoppe.com/,160.00,190.00,56.00
IS13535,STREAK-FREE GLASS CLEANER 500 ,STREAK-FREE GLASS CLEANER 500 ML,https://www.indiashoppe.com/,70.00,85.00,24.50
IS13536,ANTI BACTERIAL DISH WASH ROUND,ANTI BACTERIAL DISH WASH ROUND BAR 500ML,https://www.indiashoppe.com/,60.00,80.00,21.00
IS13537,KILL & SHINE POWERFUL TOILET C,KILL & SHINE POWERFUL TOILET CLEANER 500ML,https://www.indiashoppe.com/,75.00,95.00,26.25
IS13538,DISINFECTANT FLOOR CLEANER 500,DISINFECTANT FLOOR CLEANER 500ML,https://www.indiashoppe.com/,85.00,105.00,29.75
IS13539,CLEAN & SHINE LEMON FRESH DISH,CLEAN & SHINE LEMON FRESH DISH WASH LIQUID 500ML,https://www.indiashoppe.com/,115.00,135.00,40.25
IS13540,AAHAR CORN FLAKES 250GMS,AAHAR CORN FLAKES 250GMS,https://www.indiashoppe.com/,80.00,100.00,28.00
IS13541,AAHAR CHOCOS CORN FLAKES 250GM,AAHAR CHOCOS CORN FLAKES 250GMS,https://www.indiashoppe.com/,115.00,135.00,40.25
IS13542,AAHAR CHOCO FILLS-CHOCOLATE 12,AAHAR CHOCO FILLS-CHOCOLATE 125GMS,https://www.indiashoppe.com/,60.00,85.00,21.00
IS13697,AAHAR  TEALITE,AAHAR  TEALITE,https://www.indiashoppe.com/,200.00,240.00,70.00
IS13720,INDIAGRO BPH BUSTER 250ML,INDIAGRO BPH BUSTER 250ML,https://www.indiashoppe.com/,990.00,1100.00,346.50
IS13721,INDIAGRO TRIPMYTE 250ML,INDIAGRO TRIPMYTE 250ML,https://www.indiashoppe.com/,695.00,895.00,243.25
IS13722,INDIAGRO PLANT- ASKORT 250ML,INDIAGRO PLANT- ASKORT 250ML,https://www.indiashoppe.com/,1800.00,2195.00,630.00
IS13723,INDIAGRO WHITE CRUSH 250ML,INDIAGRO WHITE CRUSH 250ML,https://www.indiashoppe.com/,1600.00,1795.00,560.00
IS13724,INDIAGRO FUNGIKAWACH 250ML,INDIAGRO FUNGIKAWACH 250ML,https://www.indiashoppe.com/,800.00,995.00,280.00
IS13725,INDIAGRO Y-RAS 250ML,INDIAGRO Y-RAS 250ML,https://www.indiashoppe.com/,550.00,675.00,192.50
IS13726,INDIAGRO BHUASTRA 2KG,INDIAGRO BHUASTRA 2KG,https://www.indiashoppe.com/,880.00,998.00,308.00
IS13727,INDIAGRO GROWMAGIC 100GM,INDIAGRO GROWMAGIC 100GM,https://www.indiashoppe.com/,1290.00,1494.00,451.50
IS13728,INDIAGRO MI SPRAY 100ML,INDIAGRO MI SPRAY 100ML,https://www.indiashoppe.com/,325.00,525.00,113.75
IS13729,INDIAGRO MODIPHY 250ML,INDIAGRO MODIPHY 250ML,https://www.indiashoppe.com/,248.00,325.00,86.80
IS13730,AAHAR ICED MATCHA TEA WITH KIW,AAHAR ICED MATCHA TEA WITH KIWI 100GMS,https://www.indiashoppe.com/,175.00,195.00,61.25
IS13731,AAHAR ICED ACAI BERRY TEA 100G,AAHAR ICED ACAI BERRY TEA 100GMS,https://www.indiashoppe.com/,140.00,165.00,49.00
IS13732,HOT MASALA TEA,HOT MASALA TEA,https://www.indiashoppe.com/,140.00,165.00,49.00
IS13733,AAHAR LEMON GINGER GARCINIA TE,AAHAR LEMON GINGER GARCINIA TEA 30GMS,https://www.indiashoppe.com/,175.00,195.00,61.25
IS13828,EON PRODUCT GUIDE-ENGLISH,EON PRODUCT GUIDE-ENGLISH,https://www.indiashoppe.com/,35.00,40.00,12.25
IS13829,EON PRODUCT GUIDE-HINDI,EON PRODUCT GUIDE-HINDI,https://www.indiashoppe.com/,35.00,40.00,12.25
IS13830,G-35 PRODUCT GUIDE-ENGLISH,G-35 PRODUCT GUIDE-ENGLISH,https://www.indiashoppe.com/,35.00,40.00,12.25
IS13831,G-35 product booklet- Hindi,G-35 product booklet- Hindi,https://www.indiashoppe.com/,35.00,40.00,12.25
